Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 1.079479	Val Loss: 1.050008	Val Acc: 63	Test Acc: 63
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.003890	Val Loss: 0.994778	Val Acc: 63	Test Acc: 61
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 0.962146	Val Loss: 0.987893	Val Acc: 66	Test Acc: 63
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 0.922627	Val Loss: 0.968763	Val Acc: 66	Test Acc: 65
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 1.169519	Val Loss: 0.981472	Val Acc: 64	Test Acc: 64
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.005479	Val Loss: 1.020932	Val Acc: 63	Test Acc: 65
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 0.968303	Val Loss: 0.973677	Val Acc: 66	Test Acc: 66
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 1.128549	Val Loss: 0.970535	Val Acc: 65	Test Acc: 63
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 0.984392	Val Loss: 0.976772	Val Acc: 65	Test Acc: 65
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.002182	Val Loss: 1.008898	Val Acc: 64	Test Acc: 66
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 1.015246	Val Loss: 0.912316	Val Acc: 69	Test Acc: 65
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 1.111578	Val Loss: 0.975738	Val Acc: 69	Test Acc: 67
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 0.999251	Val Loss: 0.955134	Val Acc: 68	Test Acc: 65
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 0.989589	Val Loss: 1.067073	Val Acc: 62	Test Acc: 61
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 1.176022	Val Loss: 1.066374	Val Acc: 63	Test Acc: 63
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 1.112428	Val Loss: 0.967075	Val Acc: 66	Test Acc: 64
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 1.055686	Val Loss: 0.922400	Val Acc: 68	Test Acc: 66
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 1.042531	Val Loss: 0.975006	Val Acc: 66	Test Acc: 67
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.190271	Val Loss: 0.972223	Val Acc: 66	Test Acc: 64
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 1.002402	Val Loss: 0.966085	Val Acc: 65	Test Acc: 66
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 0.943598	Val Loss: 0.962895	Val Acc: 68	Test Acc: 65
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 0.911469	Val Loss: 0.921011	Val Acc: 68	Test Acc: 67
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 0.980012	Val Loss: 1.021445	Val Acc: 64	Test Acc: 62
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 1.061371	Val Loss: 0.966342	Val Acc: 67	Test Acc: 64
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 0.913226	Val Loss: 0.876352	Val Acc: 70	Test Acc: 63
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 1.058062	Val Loss: 0.887332	Val Acc: 70	Test Acc: 69
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 0.909838	Val Loss: 0.909186	Val Acc: 69	Test Acc: 62
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 0.977636	Val Loss: 0.959772	Val Acc: 65	Test Acc: 65
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 0.925851	Val Loss: 0.948600	Val Acc: 65	Test Acc: 67
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 0.902910	Val Loss: 0.964680	Val Acc: 67	Test Acc: 68
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 0.965383	Val Loss: 0.895192	Val Acc: 69	Test Acc: 65
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 1.021900	Val Loss: 0.939672	Val Acc: 70	Test Acc: 66
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 0.968454	Val Loss: 0.891215	Val Acc: 72	Test Acc: 67
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 1.038209	Val Loss: 0.986507	Val Acc: 65	Test Acc: 66
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 1.106436	Val Loss: 1.017187	Val Acc: 65	Test Acc: 61
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 0.921577	Val Loss: 0.925369	Val Acc: 67	Test Acc: 67
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 0.807685	Val Loss: 0.878823	Val Acc: 68	Test Acc: 66
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 0.890706	Val Loss: 0.979676	Val Acc: 64	Test Acc: 64
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 0.832076	Val Loss: 0.898658	Val Acc: 68	Test Acc: 65
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 1.022241	Val Loss: 0.904986	Val Acc: 67	Test Acc: 66
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 0.977336	Val Loss: 0.890828	Val Acc: 70	Test Acc: 68
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 0.858253	Val Loss: 0.935257	Val Acc: 66	Test Acc: 70
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 0.838008	Val Loss: 0.894789	Val Acc: 69	Test Acc: 70
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 0.886740	Val Loss: 0.966778	Val Acc: 67	Test Acc: 65
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 0.832662	Val Loss: 0.958494	Val Acc: 66	Test Acc: 65
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 0.899141	Val Loss: 0.855119	Val Acc: 71	Test Acc: 69
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 0.723321	Val Loss: 0.927938	Val Acc: 68	Test Acc: 67
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 0.884356	Val Loss: 0.909693	Val Acc: 67	Test Acc: 65
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 0.967031	Val Loss: 0.871246	Val Acc: 69	Test Acc: 69
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 0.822508	Val Loss: 0.977741	Val Acc: 63	Test Acc: 66
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 1.014463	Val Loss: 0.950712	Val Acc: 65	Test Acc: 69
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 0.892065	Val Loss: 0.917722	Val Acc: 68	Test Acc: 68
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.038922	Val Loss: 0.870073	Val Acc: 69	Test Acc: 69
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 0.987886	Val Loss: 0.907122	Val Acc: 69	Test Acc: 70
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 1.007912	Val Loss: 0.907616	Val Acc: 68	Test Acc: 68
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 1.015207	Val Loss: 0.902683	Val Acc: 69	Test Acc: 68
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 1.052907	Val Loss: 0.864891	Val Acc: 69	Test Acc: 68
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 1.080439	Val Loss: 0.943539	Val Acc: 65	Test Acc: 70
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 1.054642	Val Loss: 0.891661	Val Acc: 68	Test Acc: 69
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 0.892517	Val Loss: 0.857715	Val Acc: 70	Test Acc: 69
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 0.778935	Val Loss: 0.891732	Val Acc: 70	Test Acc: 68
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 1.167681	Val Loss: 0.880162	Val Acc: 69	Test Acc: 70
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 0.951704	Val Loss: 0.883160	Val Acc: 70	Test Acc: 70
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 1.024283	Val Loss: 0.856875	Val Acc: 71	Test Acc: 69
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 0.967383	Val Loss: 0.839381	Val Acc: 71	Test Acc: 66
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 0.845463	Val Loss: 0.868651	Val Acc: 70	Test Acc: 70
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 0.806618	Val Loss: 0.924579	Val Acc: 70	Test Acc: 71
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 0.980997	Val Loss: 0.843192	Val Acc: 72	Test Acc: 70
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.018861	Val Loss: 0.870919	Val Acc: 70	Test Acc: 68
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 0.825474	Val Loss: 0.854595	Val Acc: 69	Test Acc: 68
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 0.851252	Val Loss: 0.883405	Val Acc: 69	Test Acc: 70
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 0.942118	Val Loss: 0.833226	Val Acc: 71	Test Acc: 67
Train Epoch: 6 [1280/49000 (3%)]	Train Loss: 0.930248	Val Loss: 0.856770	Val Acc: 71	Test Acc: 67
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 0.838908	Val Loss: 0.854037	Val Acc: 69	Test Acc: 68
Train Epoch: 6 [3840/49000 (8%)]	Train Loss: 0.909815	Val Loss: 0.842340	Val Acc: 71	Test Acc: 67
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 0.740485	Val Loss: 0.862332	Val Acc: 72	Test Acc: 67
Train Epoch: 6 [6400/49000 (13%)]	Train Loss: 0.939850	Val Loss: 0.856314	Val Acc: 70	Test Acc: 68
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 0.782309	Val Loss: 0.863440	Val Acc: 69	Test Acc: 66
Train Epoch: 6 [8960/49000 (18%)]	Train Loss: 0.883192	Val Loss: 0.908050	Val Acc: 69	Test Acc: 66
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 0.868256	Val Loss: 0.838173	Val Acc: 71	Test Acc: 67
Train Epoch: 6 [11520/49000 (23%)]	Train Loss: 0.806977	Val Loss: 0.859763	Val Acc: 71	Test Acc: 70
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 0.873881	Val Loss: 0.855946	Val Acc: 70	Test Acc: 67
